index,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Year
26441,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-23,47,Good,NO2,48-113-0069,8,1991
26442,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-24,47,Good,NO2,48-113-0069,18,1991
26443,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-25,47,Good,NO2,48-113-0069,8,1991
26444,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-26,38,Good,NO2,48-113-0069,8,1991
26445,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-27,40,Good,Ozone,48-439-1002,7,1991
26446,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-28,38,Good,NO2,48-439-1002,8,1991
26447,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-29,28,Good,NO2,48-113-0069,8,1991
26448,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-30,47,Good,NO2,48-113-0069,18,1991
26449,"Dallas-Fort Worth-Arlington, TX",19100,1991-01-31,68,Moderate,NO2,48-113-0069,8,1991
26450,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-01,57,Moderate,NO2,48-113-0069,9,1991
26451,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-02,79,Moderate,NO2,48-113-0069,8,1991
26452,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-03,57,Moderate,NO2,48-113-0069,9,1991
26453,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-04,47,Good,NO2,48-113-0069,8,1991
26454,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-05,38,Good,NO2,48-113-0069,17,1991
26455,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-06,47,Good,NO2,48-113-0069,5,1991
26456,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-07,47,Good,NO2,48-113-0069,7,1991
26457,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-08,57,Moderate,NO2,48-439-1002,8,1991
26458,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-09,57,Moderate,NO2,48-439-1002,8,1991
26459,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-10,61,Moderate,Ozone,48-113-0069,8,1991
26460,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-11,57,Moderate,NO2,48-439-1002,18,1991
26461,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-12,71,Moderate,Ozone,48-113-0055,8,1991
26462,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-13,47,Good,NO2,48-113-0069,8,1991
26463,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-14,47,Good,NO2,48-113-0069,8,1991
26464,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-15,47,Good,NO2,48-439-1002,8,1991
26465,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-16,47,Good,NO2,48-439-1002,8,1991
26466,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-17,75,Moderate,PM10,48-113-0018,18,1991
26467,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-18,43,Good,Ozone,48-439-1002,8,1991
26468,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-19,42,Good,Ozone,48-439-1002,7,1991
26469,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-20,57,Moderate,NO2,48-113-0069,7,1991
26470,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-21,57,Moderate,NO2,48-113-0069,6,1991
26471,"Dallas-Fort Worth-Arlington, TX",19100,1991-02-22,48,Good,Ozone,48-439-2003,8,1991
