CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-12,172,Unhealthy,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-13,169,Unhealthy,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-14,182,Unhealthy,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-15,74,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-16,126,Unhealthy for Sensitive Groups,Ozone,13-097-0002,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-17,154,Unhealthy,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-18,217,Very Unhealthy,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-19,172,Unhealthy,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-20,219,Very Unhealthy,Ozone,13-089-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-21,209,Very Unhealthy,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-22,90,Moderate,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-23,99,Moderate,SO2,13-121-0048,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-24,101,Unhealthy for Sensitive Groups,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-25,136,Unhealthy for Sensitive Groups,Ozone,13-097-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-26,166,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-27,147,Unhealthy for Sensitive Groups,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-28,200,Unhealthy,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-29,204,Very Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-06-30,161,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-01,169,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-02,164,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-03,185,Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-04,154,Unhealthy,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-05,129,Unhealthy for Sensitive Groups,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-06,185,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-07,200,Unhealthy,Ozone,13-097-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-08,208,Very Unhealthy,Ozone,13-223-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-09,215,Very Unhealthy,Ozone,13-089-0002,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-10,182,Unhealthy,Ozone,13-247-0001,9
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-11,156,Unhealthy,Ozone,13-247-0001,7
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-12,119,Unhealthy for Sensitive Groups,SO2,13-121-0048,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-13,37,Good,Ozone,13-085-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-14,62,Moderate,SO2,13-121-0053,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-15,97,Moderate,Ozone,13-247-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-16,161,Unhealthy,Ozone,13-223-0002,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-17,136,Unhealthy for Sensitive Groups,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-18,71,Moderate,Ozone,13-223-0002,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-19,23,Good,Ozone,13-085-0001,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-20,39,Good,SO2,13-121-0053,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-21,55,Moderate,SO2,13-121-0048,8
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-22,49,Good,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-07-23,104,Unhealthy for Sensitive Groups,SO2,13-121-0053,8
